2026-04-22 13:08:35,090 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.914, 0.914, -170.000)
2026-04-22 13:08:35,091 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.224, -0.136, 4696.012)
2026-04-22 13:08:35,091 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:37,139 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:37,147 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 5, 3)
2026-04-22 13:08:37,147 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(5), np.int64(2)) with prob = 0.0582889
2026-04-22 13:08:37,147 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.117, 0.190, 4699.566)
2026-04-22 13:08:37,148 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:40,136 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:40,152 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 5, 3)
2026-04-22 13:08:40,153 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(5), np.int64(6), np.int64(3)) with prob = 1.0
2026-04-22 13:08:40,153 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.002511647993005948
2026-04-22 13:08:40,153 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.117, 0.495, 4931.095)
2026-04-22 13:08:40,154 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, 0.610, -110.000)
2026-04-22 13:08:40,154 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.117, -0.115, 5041.095)
2026-04-22 13:08:40,154 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:42,211 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:42,217 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (5, 5, 0)
2026-04-22 13:08:42,217 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(3), np.int64(7), np.int64(15)) with prob = 0.1112354
2026-04-22 13:08:42,217 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.340, -0.435, 4732.351)
2026-04-22 13:08:42,218 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:45,190 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:45,200 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (5, 5, 0)
2026-04-22 13:08:45,201 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(4), np.int64(5), np.int64(0)) with prob = 0.9958680
2026-04-22 13:08:45,201 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 3.330237936775448e-06
2026-04-22 13:08:45,201 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.270, 0.479, 5222.351)
2026-04-22 13:08:45,202 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.305, 0.305, -170.000)
2026-04-22 13:08:45,202 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.035, 0.174, 5392.351)
2026-04-22 13:08:45,202 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:48,264 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:48,278 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (4, 6, 16)
2026-04-22 13:08:48,279 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(1), np.int64(5), np.int64(0)) with prob = 0.0686214
2026-04-22 13:08:48,279 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.661, 0.314, 5365.045)
2026-04-22 13:08:48,279 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:51,256 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:51,270 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (4, 6, 16)
2026-04-22 13:08:51,270 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(4), np.int64(7), np.int64(16)) with prob = 0.9988705
2026-04-22 13:08:51,271 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.114228231625093e-14
2026-04-22 13:08:51,271 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.558, 0.618, 5555.236)
2026-04-22 13:08:51,271 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.305, 0.914, 150.000)
2026-04-22 13:08:51,271 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.253, -0.296, 5405.236)
2026-04-22 13:08:51,272 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:08:54,340 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:08:54,355 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (3, 6, 13)
2026-04-22 13:08:54,356 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(7), np.int64(14)) with prob = 0.1236711
2026-04-22 13:08:54,356 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.659, -0.015, 5386.831)
2026-04-22 13:08:54,356 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:09:03,479 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:09:03,495 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (5, 7, 13)
2026-04-22 13:09:03,496 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(4), np.int64(8), np.int64(13)) with prob = 0.7080926
2026-04-22 13:09:03,496 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 3.343437283144287e-14
2026-04-22 13:09:03,496 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.049, 1.049, 5856.831)
