2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:08:55,899 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:11:26,851 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:11:30,019 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-14 12:12:00,542 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:12:02,109 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:12:24,641 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:12:55,719 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:14:55,883 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 12:14:56,615 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-14 12:14:57,019 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-14 12:14:57,470 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-14 12:15:07,748 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:18:31,741 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:19:11,391 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 12:19:11,676 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-14 12:19:17,705 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:21:51,972 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:22:00,197 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:22:49,717 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 12:22:50,546 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
