2026-01-21 17:09:29,044 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 17:09:39,073 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 17:09:39,075 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 17:09:40,017 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 18:39:11,073 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 18:39:11,074 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 18:39:21,103 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 18:39:21,105 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 18:39:21,992 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 18:45:32,138 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 18:45:32,139 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 18:45:42,166 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 18:45:42,169 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 18:45:43,121 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 19:08:19,200 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 19:08:19,200 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:08:29,231 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:08:29,232 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 19:08:30,057 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 19:10:17,238 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 19:10:17,239 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:10:27,267 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:10:27,269 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 19:10:28,108 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 19:22:06,904 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 19:22:06,905 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 88f56131-4638-4afb-ab14-e80d8e5f969f
2026-01-21 19:22:16,936 | MainThread   | [INFO    ] | _get_ble_device     |: Found 0 device(s) advertising service 88f56131-4638-4afb-ab14-e80d8e5f969f
